,TWEETS
2043, goin to dadsssssss
2046," im giving it all to ya,"
2051," I'm gonna go be grumpy and read comics. Later, twitter!"
2056, I'm happy and content
2057, i'm happy! went out for dinner at a posh place and food was wonderful. I love it when food is Wonderful!!!
2058, i'm having fun with this.
2060, im in neet magazine again in the global fashion section. http://www.neetmagazine.com/
2061, im in science class with mt beautiful lauren listenin to my ipod... Mariah carey of course
2071,"I'm off to take a nap, haven't slept much in a few days and have been up since 5:30"
2073," I'm real happy, things are good"
2088, gnite/gmornin @TheRealNobody
2090,god i love this tune    ? http://blip.fm/~60u8d
2093, going for stroll in sunshine.... sending out love vibrations all good things welcome xo
2096,- going somewhat out of town? (x visitng uncle boyet &amp; famm! 
2097, going to bed goodnight amazing twitters!!
2100, going to sleep. good day later today. goodnight.
2101, Going to take my bike to Claremont Village via the train and get some tofu scramble and explore!
2102, going upstairs.chilling.bed.work D: txttt me! oh btw im excited to see bia tommrow!!!!
2103, gonna make the best of next week.
2105, gonna volunteer at madres school again -still trying to calculate how many friends i really have.
2106,"- Good afternoon, welcome to Mama Mia Pizza, what would you like on your pizza? - YouTube scares me.... in a good way "
2107,good dance... make little love... get down tonight...!!!! &lt;3
2108, Good morning
2109, good morning every body!!!!
2110,good morning love u all ;-) I feel ok I only had like 4 coronas  it was a fun night  laker game later today
2111, Good morning sunshine!!!
2112, Good Night Twitter! I'm tired! Partying ALL WEEKEND! Peace â™¥ and ALWAYS BE HAPPY!
2113, Good times !! ... Dad is being far too jolly its very odd. Being looked after today !!
2115,"- Goodbye Mazda 6. Always a good, nice, car (&amp; a fantastic color)... But no room for you on Wall Street.    http://twitpic.com/6a1ny"
2118, Goodmorning again! haha. ) uggh. i'm getting kinda hungry :|
2119, goodnight all. Doodadoo lives good
2120,"- GOODNIGHT everyone  I pray you all have a blessing morning. I'm gonna do 1 more load of laundry, straighten the kitchen, then lay down."
2121, goodnight luvs
2124,"- Goodnight, I'm going to sleep with my monkey "
2125, Goood Morning Twittz. I'm in an Extremely good mood. Heading to the GYM with my doll Nessa.
2130,Gov't Motors just peed a little: http://bit.ly/aLDXF via @TTAC &amp; http://bit.ly/pJg8o
2131,' going to bed. shopping tomorrow. nsn / ftsk mondaaay. 
2133, going to find motrin then sleeeep.
2134,Going to london in 2 days hopefully
2135, going to sleep !!!! this monster just crashed !!
2136,- Going to walk my daily mile later today. Getting ready 4 a late breakfast w/ parents then going 2 Frisco 4 the next FC Dallas match
2137, Golden Spoon and dance/music love.
2138,-- gonna get some beauty rest &amp; dream about mr. handsome  15 more days!
2141, good i hope not my love because im in love with u and dont wanna lose u
2142," Good morning guys making my morning cup of coffee xoxox, A rainy day off... whatever!"
2143," Good morning peeps, ahhh it's gonna be a wonderful Saturday "
2144, good morning twitterers ily
2146, good weekend. now ISU's woooo
2148, goodmorning tweeties..
2155," got the best addon for twitter, IF YOU USE FIREFOX GET TwitterFOX"
2156, gotta love those shoes -- Dora &amp; Manny can keep you on your toes with spanish! yo se que tienes un nuevo amor... thats selena.
2160," great mood todayyyyyyyyy. Super excited for the game tonight, not so excited to be one year older (tomorrow)."
2162,group shot from prom: http://bit.ly/13BGD9
2165, guitar in a weeeeek
2169, Ha I love you too betch.
2171,- had a great time at the 'block party' - so did mackenzie 
2173," Had a really fun afternoon, and probably have a wicked sunburn xP It was so worth it. Nick left a few minutes ago. Surfing the web "
2177, haha dating the enemy!
2191, I'm trying to build a little momentum
2193, I'm up. sleeping is over rated.
2201,in the words of marv albert &quot;YES!!&quot; There is a god! Now time to play it cool.  We got 3 hrs.
2204,intrigued about tomorrows @rhcp_universe announcement ? http://blip.fm/~7c3xs
2205, INVESTING IS THE KEY TO SUCCESS JUST NEED THE RIGHT TOOL
2213, is bored but for some reason oddly happy
2214," is happy today,  i spent quality time with my mommmm and idk why but i didn't see any nice dresses today! :s nothing nice to buy"
2218, great great great great day! rock band singing is my new favorite!
2221, greeeeattttt fuckingf night much bneeded!
2227,had a cool lil night. Now at Berrie's about to eat pizza waitin for @NOEL4PRESIDENT
2228," had a good weekend, looking forward to a great week x"
2234,- HAPPY 8TH ANNIVERSARY TO US!!! Awww  Barry is about to take me 'somewhere' ...  Be back later!!
2235, happy day cash cash party in your bedroom on xm radio
2236, happy for you
2238,happy juice. http://twitpic.com/4e4bz
2239,-- happy mothers day mom!  http://twitpic.com/4x153
2242, Harry Potter! Yay!!!
2245,Hate this song  ? http://blip.fm/~5jg6f
2249,- Have a GREAT Sunday... be blessed and encouraged!! I'm going to PASS OUT now. haha Earlier than usual... yay!  GOD BLESS YOU!!!
2254, having a good day
2255,- having a smoothie and watchin a movie.. 
2262, heading my dad's store
2263, heart it races. Black glass extravaganza and then downtown.  smiles all day as usual.
2265," hella people have no idea who I am... Hehehe, and no I'm not Lou nor @MicahMoney"
2266, haha have fun girl. Have fun at thaaat mormon dance tonightt too!!
2267, haha! Off the phone with my bby!  I lovee youu!  -Nitee!
2268, hanging with jon. i love ashley!!!!!!!!
2269,happily falling head over heels for him &lt;3
2270,- Happpy Monday night everyone! 
2271,happy and singing... extreme &quot;more than words&quot; â™« http://twt.fm/140208 #musicmonday
2273,"- happy flip indy day.  mabuhay! schweet! oh wait, wasn't that yesterday? man...i need to do my research. fail."
2274, happy to meet the old friends...
2275,Happy today!!!  http://estrella05azul.wordpress.com/
2277,-- harry potter! with BEllA and EMMAliNE. making hotdogs 
2285,have i told u how much i like u 2day?
2292, having a good night! hehe almost time to get homegirl and come home and sleep! im so damn sleepy... =(
2293, Having A Very Nice Day
2295, he makes me so happy!
2296, he makes my little heart smile
2303, hehe lizzie gibson is a ledge! cant wait to see her in a few weeks XXX
2304," Hello, my name is Nadia. And I am addicted to twitter...   "
2306, hey im back haha
2307,- HEY YA ALL! 8) Peace Out! #Followfriday! Please i want followers!!!! So give out this message: Follow @Crizzyx3 THANKS!
2309,"hihooo(:  but,, i think i'm gonna be on my granda's house :3 haha  til late so... i'll be here few minutes :O"
2310,-- hmm...life's been pretty good to me lately.  I'm quite content.
2312,- is much better now 
2313," is not a face, it's the scalp of a cat, with the ears still attached"
2316,- is trying to make a song and watching ELLEN DEGENERES SHOW.....  
2318,- isn't beer just sparkiing water with alcohol in it? 
2330,- it's an old Jeremy Enigk night. Return of the Frog Queen / United States of Leland OST.  Love Enigk.
2331, its castiel!!!!  [ the angle ]
2334, its follow friday !!!
2335," its going to be a good day, yes sir a goooooooooooooooooood day!"
2336, ITS LOUD AGAIN!!!!!
2344, I've been working out too much. My back hurts. OUCH
2348, I've had a good day!
2349, ive nbeem drink for s few hourst
2352, jajajaja. what do  you mean&quot;in some way&quot;?&gt;&lt;
2366, How are you all? been very hot I must say.
2374,How to Tell if Your Son is Gay? [PIC]: http://digg.com/d1tpPB?t
2377,http://bit.ly/Y1YjQ I'm reading: The Peak of Hotness.
2381,I &lt;3 Bobby
2383, I adore leather corsets.
2384,i agree @OasisStasis http://ff.im/2dojM
2388, i am bored
2397, I am what I say I am.....I am Yashawini.....a successful woman
2398, I be cool
2399,"' I believe in you my love, and your imaginary world.' Nightnight world  Sending love out there."
2400,"I bet you were with him! @PITX08 oh, follow @fxxxmylife"
2401, I bought a Torchwood book yesterday and nearly a Dr Who one but it was in the kids bit and my friend was laughing about it ;(
2402, Hello Summer  listenin to nevershoutnever! makes me feel all summery  lunch time (Y)
2403,Hello TWITTER! (100th update Wooohooo)
2405,- He's a keeper for sure cuz the boi has even got me smilin n my sleep!    Wow!
2406, hey all im bored and since im wating for cliare before going to my grans i thought i would twitter lol
2410,hmm. i really like the songs on the summer ep. &lt;3 nsn
2413, home from a friends ..aha great party 
2417, Honorary Hollywood Mom Mafia: @bostonmamas @PetiteMommy @blissnine @MomSquadBlog @all_moms @twitterparents @MomsofAmerica #FollowFriday
2420, How beautiful is Prince. Oh My Goodness
2423, how i love the sun and its powers
2425,how much do I love this...... Just stopped to grab a bite on the road and as we walk in.... Summertime came on &lt;3
2426, How's everybody. I'm finna GO!  HOW ABOUT THEM APPLES =D
2428, http://www.inimacopiilor.ro/campanie/campanie.php - pt copii
2431, I also like this night. I'll hibernate now.
2439, i Call you
2449," jonas brothers, cant wait!"
2450, Josh Groban's music is my happy place.
2452, jus chillen with the homies on the west sieedahh
2457," just finished writing australia and put it up at lifesaclimb, what an accomplishment."
2460, Just get some new clothes. Thx mom.
2461, Just got a notebook similar to a Moleskine. Looking forward to purchasing one in Hong Kong this summer. 
2462, just got home. Wow that was actually fun
2464, just happy.that's all i'm tweeting now
2470, just sat wit sis lookin on twitter  x
2471, just seen a frog on the sidewalk (:
2472, just soaked in the hot springs of Pagosa. So nice.
2473, Just started a twitter xD
2482,- Kris Lundberg is speaking at the Int'l Virginia Woolf Conference today at 4pm! Come to Lincoln Center and support her. 113 W. 60th St.
2500," i can't stand Ravenna, but tonight it's really nice."
2503,- I can't wait to JDM my RSXy  be ready to race this badass chick! Yall aint ready.
2510, i could cry at how nice dannys voice sounds on radio one (L)
2516, i dare you to ask for it like that.
2548, i cant wait to leave! lol
2582,I forgot how many great songs this mystery band had @AnnieLicious ? http://blip.fm/~5e7qp
2585, I get to do a review for Katie and Nina and for Colette when it gets here...... LIFE IS GOOD!!!!  
2586, I get to sleep in as late as I want tomorrow! I'm so excited!
2600, i feel proud that took up the whole thing
2612, i got my eye on u! Lol
2617, i gotta remember to update more frequently i don't have my blackberry it was so much easier  how is everyone doing?
2624, I has a huge pack of giant buttons &amp; a bag of doritos.  @shinydan is fab! oh &amp; he brought me coffee and is making sausage butty for lunch
2632,"- I GOT A,  6/A IN MY SPANISH EXAM!! Im Soo Happy"
2633, i got it nowww!!
2634, I GOT MAIL! yay for mail
2640, i gotta take a whiz. lol
2645, i had a wonderful day with O.  Haight and Thai food.
2648,i has veggies tooo! lots of corm and peppers though and like 2 carrots
2666, I have already completed work on &quot;mechanisms&quot; that boredom ... Now I have to study the map of Africa! tomorrow..BASEBALL! its SO cool
2674,LAST Day To Enter http://tinyurl.com/r3qhor
2677,last tweet for the night!  VOTE for @GoodeMovement here: http://tinyurl.com/lv6969 and with that same determination... #squarespace!
2678,last tweet for the night! VOTE for @GoodeMovement here: http://tinyurl.com/lv6969 and with that same determination... #squarespace !!
2679, Laughter is one of the best things that God has given us
2682,"- leaving for Seattle in ~14 hours!! Just one more day of work to survive, then we're off  to celebrate 3 years of wedded bliss"
2688, life is a mystery.!!! LOL freakin marriah.!!! LOL *blast off.!!* LOL
2689, life never ceases to amuse me. Wouldnt want it any other way!
2691," lifes complete. all time low were a-fucking-mazing, disapointed that the venue didn't let them sign though"
2693, listening to @ddlovato music. ;) you're a trainwreck but i wouldn't love you if you changed..
2694,- Listening to Metro Station Shake it remix...quite good 
2696, LOL. @elieehinojas...have you seen my new presentation...
2699, lolz  iT.SR|TCE|TBE|
2703,"- long week ahead, but the good thing is we have the weekend to look forward to. "
2712, love it
2729," i have a new pictureee...i don't have face buuut...it's beatiful! aah the photograph is Sara, she've a great future how photograph haha"
2732, i have an idea im going to get a gun go to taylor l's house and kill him!! IM A VERY BAD GIRL x]
2747," I just don't know how to begin this twitter thing. Anyway, I'm taking up my back subject this summer. Hope I'll cope up."
2751, i just got song a lullaby by none other than thee infamous matthew. xD i still can't sleep but thanks for the effort.
2762, i have twitter on my phone now
2769,i joined twitter 24 January 2009. daayyuuummm. i thought it would have been in like april. lololol. hi mom.
2771," I just found ACTUALLY AFFORDABLE Star Trek TOS action figures online! Kirk, Spock AND MCCOY for less than thirty bucks! Happy Trekkie."
2779,"I just ruined 4th Twilight book for my mom, YES, MY MOM! If I do nothing else today, I will feel fulfilled!"
2783,- I keep forgetting it is he apprentice final tonight. then i remember and get very excited 
2788, i know right? Lol
2789, I like feeling this way
2790, i like to be freelance
2791, i like you more
2794, i love being a fake rebel.Mmm... Kinda hungry.anyone want to do something? 
2795, i love David Archuleta xD. i reaaallly want to see him in concert.
2797,"I love how you're playing with different styles, pattern and details! http://lookbook.nu/look/159472"
2798, I LOVE LOVE LOVE MY BFF JAZZMIN MARIE EVANS! THE CONVO WE JUS HAD! WHEW WE SHLD HV A TLK SHOW LMAO
2799,"- mac &amp; cheese and a movie, what an awesome combo! "
2801,makes my heart smile real big. â™« http://blip.fm/~7qnjr
2802, making dinner today and then going to work. Hopefully tonight will be as good as yesterday 
2804, Man looking at my cousins only remind me how old I've gotten lol
2806, Managing IT people is like herding cats
2813,--- Meagan Good Fansite ; FOLLOW US! 
2814, meebo is awesome 
2817,"- Meh.... eating grapes and watching 7 Pounds. Had fun today playin' mini golf with Richie, Reva, and Thomas."
2818, Merisha got a scholarship!!!!
2820,Michael Sheen ---&gt;http://bit.ly/7DCrg  ( beautiful man^^)
2824, miss you
2829,- Mmph. Gonna read for like half an hour.. prob 4 or so actually - xD - and go to bed. Night
2833,More Star Wars humor: http://bit.ly/4fuAN
2834, Morning. Media Exam. x
2836, moving crap into the house now..well..i would be if ALL the traffic lights werent out...scary driving.
2839,my adopt-a-puppy http://yfrog.com/9wddej
2840," My advice is not to inquire why or whither, but just enjoy your ice cream while it's on your plate. ~ Thornton Wilder"
2855, I just saw the hottest thing ever
2858, I just watched my son be promoted to a red belt @ Karate class. Cute and exciting!
2863," i know i'm a syllable whore, sorry but i did it on purpose....."
2868," i like how you can change the colour of stuffs on bebo  &amp; how you can do the underline, italics &amp; bold thingys  haha"
2869, I like it when things work like they should. I was expecting this upgrade to break something bigtime.
2872, I like you so much better when you're naked.
2873,- i loove the songs of david archuleta .. 
2874,"I love getting off work , and smelling the scent after it rains! the best &lt;333"
2876," i love my fly with me friends, @guyjbfanforlife and @taylavision_"
2877,i love singing along with my baby  ....our favorite song is the best !!! ... and sex was delicious &lt;3 hahaha
2878," I love you, daddy."
2879, i love you. *you know who you are*
2880, i love you. Jef ivey is a bastard. Save me!
2882,I meant I 've been thinking what is there to say to such a great nation... only that they remain united as they were before 1947.
2883, i might get in trouble for this. but Abby doesn't count....
2893,- My Cuzdem Juss Joined 
2900,My girlies are going to be here in approx. 3 - 3 1/2 hours.  Road Trip!!!!
2906, my hoodie came today! thank you @ChristopherDXS
2913, MY MAN IS HOME 
2917, My mom likes Milow's version of Ayo Technology... It's a good thing she doesn't have a clue what it's about.
2923, My new wallpaper is LxLight based! From Deathnote if you didn't know.... &gt;.&lt;&quot;
2928, my prom dress. please excuse the horrible lighting ! http://twitgoo.com/daus
2933,I love morning calls from my baby! Amazing way to start off my day&lt;3
2934, i love my parents. they already bought me movie studio. and they are still getting me a camera. and they got me the t.swift tickets.
2935, I LoVe SoUtH aMeRiCa (=
2936, i love talking to people that i love
2938,I love weddings! http://twitpic.com/6si1o
2941, i love you!
2942,"i loved today, ohhh i missed the old group&lt;3 glad we're back!"
2944, i made practically every biblical question in RE up
2954, i miss my friend!
2958, i miss NM! awww. good times!
2975,- I never thought the word &quot;randomly&quot; could be so funny until my husband just said it! Cracking up haha ... Goodnight all  Be blessed...
2996, i needd coke reallyy bad :p video ideass!!??
2998, i presented my script to the production in class and they liked &gt;.&lt; it's gonna be an interesting shooting ^^
3006,"i rocked summerrs Dot Dot Curve  shirt, pinstriped skinnys, Chuck hightops, 3D glasses, 200 yen necklace"
3008, I SAID IT! i like him teehheee
3026, My video is almost uploaded!
3036,nice song..http://bit.ly/iCMV2
3065, i think i finally figured out how to twitter on my phone!
3069, I think it would be fun
3072,I thought it would be like.. 2pm by now.
3083," i wanna write some reviews of films &amp; music releases, so i go &amp; leave this place. Not for a long time of course.:]"
3094,- I want The Sims 3 soooo bad!!!
3107, i wish i had my tablet pen :c...
3119, i really wanna watch the david cook and archuleta concert!!) sooo HOTT!
3121, I said I get a SUMMER flu not the swine flu    But now bilions of swineflu tweeters are following me 
3122,"- i sang early tonight, one song...'twas fun. "
3123,I see you babes! follow my boy @RealTalk24  @MsMariaG @BUTTERSCOTCHBRE @cheeksgreatbarz
3126," I shine through my smile, someone said. I'm just Jamba-ing!!"
3131,I think I did good in the math test! I need to write nao...34 655 words!
3143,I try t remind myself often that even the smallest input  can produce   big results  http://tinyurl.com/2mn6vl
3164, not now is on tv!
3167," Nothing left to do but sit back, relax, have fun, and enjoy the ride! Lmbo. XD"
3170,notsugripp http://www.kivisaar.com/itblog/04/2009/898/notsugripp.html via @addthis
3178, o seara perfekta: vodka &amp; bertolucci (the dreamers)
3182,-- off to Kokomo to see if I can squeeze into this dress! Then shoe shopping with my seeester! And visiting my Brandice! 
3187, Oh man When you make Fishhes you end up fishy.
3190, ok good im not the only one.. This weather makes me SO HAPPY!
3193,"- Ok, how about just pray for mental clarity while drumming today since &quot;enough sleep&quot; didn't happen...  Have .. http://bit.ly/HskKD"
3196,omfg! 7:30. ekkkkk! im so excited to see paramore! im only going cause paramore is going to be there. (: and this is my birthday present!
3197," on a big boat bobbing up and down on the Thames, sun shinning, the aroma of our lunch filling the restaurant and a beer on it's way "
3201, one happy man right here people 
3205,I work at 1030 u?
3210,IÂ´m cold!!! Today is 12Â°C here....
3219,IM A LITTLE SPOILED BRAT !  DONT HATE ME FOR HACKING YOU SISTA &gt;33
3224, Im am going to send some twits to some folk...............
3225, I'm awake! it's amazin
3228, im bored anyone wanna talk
3230, I'm chill. He's the one freaking out.
3231,- i'm confused with this twitter lark 
3235, I'm going to play with my camera today
3236, I'm gonna have some ramen and play a FF game... haven't decided which yet.
3241," I'm in a great mood, but ... I feel a little guilty Q_Q xD"
3242," I'm in garden, chillin'"
3249, I'm not cold!
3257,I want to buy the game Bayonetta and cosplay her. Definite video game vixen. ;3
3276, i will can you believe its been a month already!
3278, I will watch supernatural now niahahahahaaa awesome show
3293, one more final then bye bye school.
3299, ooh such a lovely morning! xoxo
3307, Paranoid LOOOOOOOOOVe that song @jonasbrothers Good job! AMAZING!! http://bit.ly/Qqaqp
3310,"party, the sats+pixie24th party, bbq, party ! &quot;vacation&quot; w the bestie, forrrrreal dude! xx"
3311, Patrick Wolf came on to introduce Serafina!!! x x
3312, Perfectly cooked half-boiled eggs + my favourite spoon and that home-brand dark soya sauce makes my day!
3313,- phewwww! i did better then i expected on my mid-term! one more to gooo and then i ammm freeeeeeeeeeee! 
3315, picking up new mcfly tickets at the venue. SO EFFING EXCITED. i nearly cried with relief. haha.
3319,Please?: http://eluts.com/frontstore/Item/item_zoom.asp?item_num=3418&amp;catalog_num=3&amp;mart_id=lutsdoll&amp;level=yes&amp;mother_catalog_num=554
3322,-- ponte winery in temecula has amazing wines! you should go out there and try it!  love love the beverino. cheers!
3327,"POSITIVITY: Inspiration From O Magazine: In a world full of negativity, it is sometimes hard to stay positive.. http://bit.ly/10SMJp"
3332, im not going to school today!
3336, I'm off to sleep!!  Goodnight tweetts  enjoy your day!!  xxx
3338,im pretty sure it would fit into my pants as well!! @beaulieu85 its amazing but i jus found my tiny lil greg guy that i got from pbmall
3339, I'm rollin ova here smh caus I can imagine my daughter doin that rite now n she jumps sumtime too lol
3348,I'm smiling because I lost! I lost 24 lbs. so far! Join the thousands of losers! http://bit.ly/vWDW2
3349, im so awesome 
3351, im so excited!
3352,IM SO FUCKING RAD! *points at last tweet* only missed 3 TT's  which happen to be: #e3 #clothdiapers and JBARSODMG HAHA DONE!
3353, I'm so happy right now .. &amp; I have no idea why
3368," I'm surprisingly happy, and people who make rumours obviously don't have a life"
3369, im the happiest i could ever be !  baby stayed with me at my elementary school  i love you babe.
3374, random silly texts from great friends makes face and tummy hurt from laughing too much... simple mind simple pleasures lol
3377, really lol
3385, Relay for lifee!
3388,- revised biochemistry a bit - now taking a break - I've deserved it!  Letting go a bit XD
3393,- s.a.ts      - studio - jess's  killah Q is back where the fuck is you
3412,she makes all the bullish worth it http://mypict.me/2NIU
3415, I'm very very happy!!!!!!!!!!! ;-)....Lalalalala I'm in my Taylor Lautner World haha!!!!!!!!
3417, in a good mood
3418, In a good mood.
3420,"- In case you missed it, check the new love on the bloggety! http://www.studiofourblog.com/  Leave comments to let me know what'ya think! "
3426, is anyone as turned on as i am?
3429,-- is doing alright this morning ! &amp; lovees Calculating Collapse 
3432,- is it me OR is jeremih a lil cutie ...  ... http://bit.ly/15tP6e
3433,-- is juss chillin' outz listenin' to dem mad tunes.. beautiful night n feelin' goooood.. n waitin' 4 cuz to come on over..
3440, isn't today a wonderful day?
3446," It makes the format tighter. I prefer it now. @LorelieBrown new to me, then. lol I only started getting &quot;serious&quot; about my writing..."
3459,Sims 3 is pure AWESOME-ness! created simon Cowell&amp;Terri Seymour! They're living in the same house. Haha!
3460,- Sitting ion the garden with Hayley drinking Cider....lovely relax after yesterday...my first day tomorrow.....ohhhhhh..... 
3461, sitting making cookies with my cuzzy!!
3462, sleeping is for losers!  and people who arent vampires
3463,SMILE! Happy looks good on you  http://tumblr.com/x7o1xg3d9
3464, smile. that's what i'm doing. i'm shining and blooming because i'm so happy.  i just wanna dream of happy thoughts forever.  hahaha!
3465, smiley faces
3468, So excited.
3470, so good so good.
3471, so happy. less than a week!!
3473, So many old but good movies on TV tonight. National Lampoons Vacation then The Princess Bride. Wonder of I will ever get to bed?
3482," so, @marielgates, i'm still curious as to this whole..David thing."
3483,Sold another shirt on CafePress: http://bit.ly/Fszc2
3499, I wov you
3501, Í´m just happy... although I have a few things in mind =S damn u tricky mind of mine
3502, IAM BORED.
3504, i'd rather have you and my girlfriend at my crib runnin round naked  girl gotta girlfriend on in bed.. Nice work @MamsTaylor
3509,"- If you end having to eat your words, don't worry, they taste like chicken  "
3512, ihop sounds good.
3513, Iï¿½m feeling greate 
3522,- I'm doing Shalah's nails. Wootness. 
3533, im in such a good mood right now guys.
3536,- I'm like so on the radio right now. - http://xrl.us/bevpth - or 97.4FM if you are in #Canterbury and wanna hear some #music and me!  x
3554,"- spoke at an urban youth conference (&quot;Reload '09&quot;) this morning &amp; now at Riley's softball games, then on to @1RC for NightLight. Whew!!"
3559, starbucks tonight! I love my dysfunctional family.
3561, steak and shrimp i'm excited
3568,Stray Cats ~ Stray Cat Strut â™« http://blip.fm/~890vq
3575, Study leave!  Finally!
3580,"Subscribing to Swoozie on YouTube http://budurl.com/sWooZie06 , and following @sWooZ1e on Twitter adds to your street cred ;)"
3583, sunrise  worth waiting for 
3591, Im not putting no weave inmy head though! Gonna have to deal w/ my short cut! @bheaird
3615, I'm tired...gonna go to bed most probably...hah gonna watch some TV and then hit the hay! 
3616, im up and IIIIIIIIIIIIIMMMMMMMMM READY!!! I'M READY I'M READY I'M READY I'M READY lol 
3618," Im watchin taken,, again! yay! haha"
3620,- in a good mood anyway. I love music 
3621, in love with some guy who lives in miami... Fail!
3622,- in the lab right now cooking up sum FarOut Ent hotness --&gt; admire greatness at it works 
3623, init woo lol wait can you see the videos on the side?
3624, Inky's eating crackers!
3625,insomniac enjoying life @ 3:21AM.
3630," Is finishing off the semester, with less than a week remaining!"
3631,"- is going out to watford, text me if you need me "
3636,- it went like this.. he asked and i smiled and said yes.. 
3640,- it's 6 p.m. I should go home....good bye work! See you tomorrow!
3642, its a wiccan wedding too.. I love this show @chelseafawcett
3643, It's always great to hear from old friends....even if it is late at night
3647,- its gonna rain in So Cal... thunder and lightning are on the way 
3648,"- It's Manillusion's 4th birthday! Stop by for good offers, candy and longer opening hours"
3650,- Its only bley friday !!! What will the weekend bring us this time  BTW - Cars in for MOT - Hope it will pass 1st time.
3655," It's raining in Hampton Roads, VA &amp; I love it! I'm feeling like Gene Kelly &amp; going out to rent some movies: http://ping.fm/GJFqA"
3660," it's such a nice day, not doing much  but it's ok - we've finally got a tv remote  on demand = happiness on a notdoingalot day "
3664,- It's time for Kathleen to go to bed... waaaaay past time. Don't expect to hear from me before noon. lol  Have a BLESSED morning. 
3672, I've never been so excited for school before.
3675," JBWCKZ today. going into boston and staying over my uncles w. my cousins I got the uninvited  fav movie  text, kbye."
3676, JIMMY CAREY
3678,- super tired! photo shoot day 2 tommorow!  i'm so exhausted! ahhh!
3680, Talking while breathing in sounds really weird.
3685, thank you
3686,-- thanks for all the birthday wishes...  
3688, thanks for the birthday DMs
3690," Thanks, I Love U! Did you ever notice the alarm doesn't know u want it to SNOOZE!"
3695, that was a fun wedding... the bar was exquisite.
3696, that was fucking nuts.....ill pass out soon right?? Nighty night!!
3698, that went really well. I love stacy!
3702, Thats great to hear!. BTW what is your name?
3704,- 'The Apprentice' Final tonight! 
3708, the day don't look to bad now lol
3714,The Final Destination.. FD4  in 3-D this race track idea was awesome  August &lt;3
3716, the part where the fire blows the place up.
3717," the result of a sunday night, I really need a better camera though http://bit.ly/CZyBW"
3723,there is a broken rainbow outside. It's pretty and 1 good part of my night
3727,- isn't beer just Sparkling Water with alcohol in it ? 
3728, it aint even sun here yet we still sleepin on this side of the world but thank you 
3730,"-- it doesn`t get any better than THIS , or does it ? "
3732,it happens when you stop looking for it (and when you least expect it).  &lt;3.
3733,it is incredibly sexy watching Douglas get ready to work at 5 as attractive as humanly possible
3739,"- it's &quot;international donut day&quot; ??  it's strange but i just had one, i never eat donuts.. have a good one!!"
3741, it's a good day. Maybe i can go to Adamzz?
3742, it's all blue skies
3745, It's an ugly day
3746, it's because of me!
3750," its nice to be carefree with my bestie. we laugh, and be ourselves, i love it."
3770," I've had enough twitter for today. I'm gonna go feel all dejected and rejected in WoW and then in front of the TV. Later, all."
3775, jus chillin
3777, just a thought
3779,"Just back from dancing. Ahh ballet was SO hard, my legs ache. And we were so high in jazz and contemporary, 3 hours of hilariousness."
3781,"just figuring out this website...lol  Sang at the day-lilly festival earlier, then goin 2 goin away party later"
3784," just got back from church with pam,"
3786,- just got home; had fun with AC; tomorrow is Day 1 of my celeb image.
3794, just spent half an hour talking about the twilight saga!  ha! good thing there was no teacher around.. they had a faculty meeting! 
3795, just spent the last couple hours catching up with nicole. i missed her so much. yey for summer &amp; friends being home.
3798, just watched the movie Wanted... it was pretty darn good.
3800,- Just wrapping up the day day at work.. leaving in 20mins woohoo!
3801,Katie Herzig tweeted my tattoo of her &quot;Jenny Lynn&quot; lyrics.  Check it! http://yfrog.com/0j90oj and check out her music!
3802, keeeeep following me thanks to new followers tell your friends/fam/strangers/followers to follow me!!  much luv
3803, Kicking it with Genesis. Being dramatic. Watching a chick flick. This is highly entertaining surprisingly. 
3806,- La la la. I love country music. 
3808, lalala. I feel like taking a bubble bath. I think I will.
3809, landed safely. but three hours late.
3817,JONAS BROTHERS ARE GONNA BE ON TOMORROW!! JONAS 4 EPISODE MARATHON!!  ~ FLY WITH ME VIDEO ~ &lt;3
3819,---- jus  came back from lavish lounge... best tyme 
3820, Just  bathed spud! he's all nice and pretty
3824," Just did the GG quiz, I got Serenaa (: Rawr. Haha."
3825,just finished 10k run and already booking in for more in the coming months! Such fun!
3832," Just got all my packages from Adorama, B&amp;H Photo, and Paul C. Buff."
3833, just got done crying my eyes out to Armageddon....LOL
3834,just got home from schoollll waitin for my momma to get home then goin to get @MitchelMusso's cd  &lt;3 exciteddd hahaha
3841," just noticed that it's #UnfollowSunday , we all know what that means"
3843,- just sat in the library revising ggb5  such a nice day.
3845, just The River by Garth Brooks it always makes the day better hearing that song........I think the words are sooooo true 
3846," just up, It's brillinat when you dont need to go into school. Promiised id bring the girls a starbucks for with their revision. Town!!!"
3847, Just went to my grandma's house..
3848, keeping it chilled.
3849," kein Stress!! â˜¼ @hemablokker please please hug Berlin wall from me, send it to my wallhuggers group on flickr.com or mauerandmore.de thx"
3861, they r playing @jason_mraz at TGIF 
3867, thinking about school haha
3878, this shall be fun..
3883,"-- this weekend is goin` to be fun , hopefully as fun as last weekend! i can`t shout! "
3886,-- time has been so skewerd by this cold I have no idea WHEN anything occurred anymore.  ... But it's a happy life.  *lol!* 
3889,- Time to go back to bed (: Is there such a thing as sleeping too much? Because i definitely did that this weekend. 
3893,tired but it's all worth it. 2 days.
3896,today is a beautiful day.... love u all &lt;3
3897,today is beautiful  &lt;3
